"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
151454,"LG","86QNED81SRA","Indonesia,South Korea",217.425,"LCD (LED)",198,"Available",5,85.6002225,"86.0"
151455,"LG","86QNED816RA","Indonesia,South Korea",217.425,"LCD (LED)",198,"Available",5,85.6002225,"86.0"
151476,"SAMSUNG ELECTRONICS","QA43Q60CAS","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151476,"SAMSUNG ELECTRONICS","QA43Q63CAS","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151476,"SAMSUNG ELECTRONICS","QA43Q6*CA*","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151478,"SAMSUNG ELECTRONICS","QA55Q60CAW","Vietnam",138.783,"LCD (LED)",87,"Available",5,54.63886709999999,"55.0"
151478,"SAMSUNG ELECTRONICS","QA55Q60CAS","Vietnam",138.783,"LCD (LED)",87,"Available",5,54.63886709999999,"55.0"
151478,"SAMSUNG ELECTRONICS","QA55Q63CAS","Vietnam",138.783,"LCD (LED)",87,"Available",5,54.63886709999999,"55.0"
151478,"SAMSUNG ELECTRONICS","QA55Q6*CA*","Vietnam",138.783,"LCD (LED)",87,"Available",5,54.63886709999999,"55.0"
151488,"SAMSUNG ELECTRONICS","QA50QN90CAW","Vietnam",125.727,"LCD (LED)",94,"Available",4,49.4987199,"50.0"
151488,"SAMSUNG ELECTRONICS","QA50QN90CAS","Vietnam",125.727,"LCD (LED)",94,"Available",4,49.4987199,"50.0"
151488,"SAMSUNG ELECTRONICS","QA50QN90CA*","Vietnam",125.727,"LCD (LED)",94,"Available",4,49.4987199,"50.0"
151489,"SAMSUNG ELECTRONICS","QA55QN90CAW","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55.0"
151489,"SAMSUNG ELECTRONICS","QA55QN90CAS","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55.0"
151489,"SAMSUNG ELECTRONICS","QA55QN90CA*","Vietnam",138.783,"LCD (LED)",113,"Available",4,54.63886709999999,"55.0"
151565,"Sony","KD-55X85L","Malaysia",138.798,"LCD (LED)",107,"Available",4,54.6447726,"55.0"
151566,"Sony","KD-65X85L","Malaysia",163.878,"LCD (LED)",144.6,"Available",4,64.51876859999999,"65.0"
151572,"PRISM+","Q55U","China",138.731,"LCD (LED)",73.254,"Available",5.5,54.618394699999996,"55.0"
151598,"SAMSUNG ELECTRONICS","QA85Q60CAW","Vietnam",214.783,"LCD (LED)",173,"Available",5.5,84.5600671,"85.0"
151598,"SAMSUNG ELECTRONICS","QA85Q60CAS","Vietnam",214.783,"LCD (LED)",173,"Available",5.5,84.5600671,"85.0"
